row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region,NDVI_01,NDVI_rescaled,NDVI_rescaledf_log1p,obs_sample_row,chl_a,chl_a_log1p,transect_name,mat_type,afdm,Ef_scores
696,447,0.24824239313602448,0.22173647635720062,0.28434169868343445,delta_harnish_crescent_vg,0.06677274576724936,10.015911865087403,2.3993407607668433,8,31.1515958,3.4704620855326698,Von Guerard Gauge,orange,15.99118943,-0.5875245260603169
766,486,0.24822190403938293,0.2217200618651807,0.28430175423124643,delta_harnish_crescent_vg,0.0667279424283286,10.00919136424929,2.398730502465059,46,14.45064581,2.7376508024701587,Delta Upper,orange,13.39207048,-0.0596618564927438
1289,465,0.24800711870193481,0.22154797401905646,0.2838829807027502,delta_harnish_crescent_vg,0.06625827309945295,9.938740964917942,2.392310704897314,102,7.762372664,2.1704667203292987,Von Guerard Gauge,orange,4.713656388,0.34889531321116296
865,727,0.24798338115215302,0.2215289534740793,0.2838366944546891,delta_harnish_crescent_vg,0.06620636639479784,9.930954959219676,2.391598668840276,164,2.85553174,1.3495089326522718,Von Guerard Gauge,orange,2.68722467,0.9402521596757087
667,500,0.24751760065555573,0.22115565728593775,0.2829282830508451,delta_harnish_crescent_vg,0.06518784801808113,9.778177202712168,2.3775234605259157,43,16.11800191,2.840130653037867,Delta Gauge,black,9.030837004,-1.6092102830322461
826,458,0.24749283492565155,0.22113580508047054,0.28287997296783124,delta_harnish_crescent_vg,0.06513369300041835,9.770053950062753,2.3767695004466285,83,8.689887225,2.271082787548056,Von Guerard Middle,black,81.71806167,-1.1993105826157098
1289,463,0.24723389744758606,0.22092821723075923,0.2823748106437367,delta_harnish_crescent_vg,0.06456747654919927,9.68512148237989,2.368852258138383,168,2.668613034,1.2998136707457517,Von Guerard Lower,orange,6.431718062,0.9760489251201591
869,742,0.2471385896205902,0.22085179895118282,0.28218884775733555,delta_harnish_crescent_vg,0.06435906770866308,9.653860156299462,2.3659222824746897,18,24.68675446,3.245975468380277,Von Guerard Gauge,black,25.72687225,-1.9015506612555555
697,447,0.24702444672584534,0.22076027093704648,0.28196611552900347,delta_harnish_crescent_vg,0.06410947238056627,9.616420857084941,2.3624019399032115,203,0.377,0.3199072197465178,Delta Gauge,orange,1.3,1.6819005503697912
861,755,0.24690833687782288,0.22066715708179765,0.2817395241770129,delta_harnish_crescent_vg,0.06385557593193307,9.57833638978996,2.3588081730258383,70,10.28038815,2.4230656559388795,Von Guerard Lower,orange,4.49339207,0.16694185321042948
853,747,0.24682986736297607,0.2206042238398565,0.28158637695377225,delta_harnish_crescent_vg,0.06368398728992813,9.55259809348922,2.3563720943895885,38,17.78824317,2.9332313109168435,Von Guerard Lower,black,7.753303965,-1.6762730629625895
1482,1541,0.2468099445104599,0.22058824490623366,0.2815474924272612,canada_huey,0.06364042215237391,9.546063322856087,2.355752645533271,91,8.31256652,2.2313647267674144,Canada Gauge,black,17.62114537,-1.170700649774476
1642,197,0.24655431509017944,0.22038319711171922,0.2810485112943509,delta_harnish_crescent_vg,0.06308143940387512,9.462215910581268,2.3477702823364295,188,1.191,0.7843580606133295,Delta Upper,orange,3.9,1.3473447562528142
1480,1544,0.24649594724178314,0.22033637266594783,0.2809345646164349,canada_huey,0.06295380691038227,9.44307103655734,2.3459386997875327,99,7.894115059,2.1853898287037246,Canada Gauge,orange,9.074889868,0.3381458173902877
860,801,0.2463691681623459,0.22023465911653584,0.28068704602088934,delta_harnish_crescent_vg,0.06267658014126379,9.401487021189569,2.341948778732949,199,0.652,0.5019866750987864,Von Guerard Middle,black,10.2,0.07501449700977314
1314,470,0.24620099365711212,0.22009971847729926,0.2803586697357342,delta_harnish_crescent_vg,0.062308834335402095,9.346325150310314,2.336631398722351,35,18.94261591,2.9928589449963607,Von Guerard Gauge,orange,11.23348018,-0.24349479482616065
