sim_id,alpha_q1_length,beta_q1_length,gamma_q1_length,alpha_q1_diff,beta_q1_diff,gamma_q1_diff,alpha_chi_sq,beta_chi_sq,gamma_chi_sq,chi_sq_tot
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-580_2019-08-29_191957_20190829_192224,2,2,2,-8.858672341117718,10.562494938155702,0.3706451713400689,22.985000883156484,50.8416255795045,0.037423800642254215,73.86405026330324
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-5928_2019-08-30_110451_20190830_110712,2,2,2,-8.872076406514696,14.16327715069492,6.532849023433929,23.054610759355896,91.4142514885423,11.626163893960259,126.09502614185845
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-7389_2019-08-30_152040_20190830_152257,2,2,2,-8.462945995834405,7.542681856415945,-1.175533567585056,20.977338522653554,25.92614706434874,0.3764447699193606,47.27993035692165
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-7528_2019-08-30_154348_20190830_154609,2,2,2,-8.199570633436661,6.278299001045778,-1.7171702715213435,19.69198382341132,17.96264927050331,0.803263290622412,38.45789638453704
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-7761_2019-08-30_162533_20190830_162801,2,2,2,-8.460327365098344,7.982487341662618,-0.1959253565308714,20.964358786083313,29.037744349029406,0.01045712956932969,50.01256026468205
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-836_2019-08-29_200432_20190829_200652,2,2,2,-8.480698346167536,9.332808001315453,2.5021425352960733,21.06543731075409,39.69273851489704,1.705514002073012,62.46368982772413
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-8538_2019-08-30_184149_20190830_184412,2,2,2,-8.664852959103326,7.512576917139406,-3.1757201364142276,21.99022343290509,25.719603160857368,2.747360458176229,50.45718705193869
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1000_rep-8955_2019-08-30_195232_20190830_195454,2,2,2,-8.751624842252015,10.50537439502994,1.6156791110607998,22.432859298705726,50.293223182126276,0.7111175842572981,73.4372000650893
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10000_rep-2242_2019-08-30_001251_20190830_001514,2,2,2,-7.635530107780436,4.773168226066874,-1.5157411641533756,17.075979924488728,10.38245081101455,0.6258658975833767,28.084296633086655
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10000_rep-2655_2019-08-30_012437_20190830_012657,2,2,2,-8.300124562338993,7.4293761138072005,0.12569397752022127,20.177923335529506,25.153075281465277,0.004303879829053938,45.335302496823836
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10000_rep-2705_2019-08-30_013508_20190830_013730,2,2,2,-8.605876496074385,7.78641300705105,-2.056128536353974,21.691893622655247,27.628752246544803,1.1516797185251257,50.47232558772517
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10000_rep-4454_2019-08-30_064133_20190830_064402,2,2,2,-8.509828219207147,8.181509320731024,-0.27151612763121236,21.21039881201077,30.5037518517588,0.020082716609972486,51.73423338037954
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10000_rep-5855_2019-08-30_105120_20190830_105342,2,2,2,-8.842374002876126,11.266756537248938,1.8358226893210414,22.900502283194527,57.847450063807095,0.9181056581553185,81.66605800515693
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10000_rep-6839_2019-08-30_134355_20190830_134625,2,2,2,-8.772851195923735,11.19896605420428,2.6371534107701464,22.541809411870183,57.15342441514133,1.8945321826072032,81.58976600961873
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-168_2019-08-29_181004_20190829_181231,2,2,2,-7.857420849525436,5.6271863847721555,-0.6661140237567693,18.08286655818624,14.43008870040808,0.12087273573802913,32.63382799433235
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-2476_2019-08-30_005521_20190830_005744,2,2,2,-8.810709768221207,11.864366807409091,3.345642343083,22.73678413449971,64.14687894376874,3.0492302654568832,89.93289334372534
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-2602_2019-08-30_011642_20190830_011904,2,2,2,-8.853455070713501,13.699803426790762,6.011554666640521,22.957935054915534,85.52933033436875,9.844752430009178,118.33201781929347
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-3388_2019-08-30_033341_20190830_033605,2,2,2,-7.838828218480634,7.217227252547597,3.9158117643779136,17.997390599542868,23.73707276164049,4.177099412500448,45.911562773683805
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-405_2019-08-29_184853_20190829_185110,2,2,2,-8.865758204401944,13.481397892785736,5.432108181479727,23.021786014183597,82.82401006817385,8.038370481008348,113.8841665633658
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-4686_2019-08-30_072353_20190830_072624,2,2,2,-8.530862082234323,10.986152565282755,5.401450509695589,21.31538048096224,55.001894905098844,7.947892790052095,84.26516817611318
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-5226_2019-08-30_085920_20190830_090152,2,2,2,-8.770707710670543,10.648625768059464,1.642102636694073,22.530795402362262,51.674172363535625,0.7345676436815156,74.9395354095794
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-599_2019-08-29_192233_20190829_192503,2,2,2,-8.5956407945938,10.338602268137603,3.23799841111736,21.640324277651867,48.709094541220324,2.856172677549682,73.20559149642187
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-632_2019-08-29_193023_20190829_193254,2,2,2,-7.784293850347723,6.772458730585881,3.156440828265083,17.747847618307304,20.901580871320647,2.714104107669635,41.363532597297585
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-6832_2019-08-30_134355_20190830_134617,2,2,2,-8.547914247874933,10.249735324017248,3.6451833001282985,21.400679402669326,47.87532134891397,3.6196780284247736,72.89567878000807
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+05_rep-9678_2019-08-30_220013_20190830_220237,2,2,2,-8.247847234654177,6.216815666060572,-2.2667231039527245,19.9245473803827,17.612555758186776,1.3996780121906416,38.93678115076012
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-1963_2019-08-29_232221_20190829_232444,2,2,2,-8.689307299173363,11.02471903182959,3.407515165317257,22.114522193613578,55.38873679050779,3.1630553556325243,80.6663143397539
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-2771_2019-08-30_014544_20190830_014805,2,2,2,-8.688265823079607,10.221639874227929,1.8614216790174432,22.10922134162707,47.61321990851753,0.9438885828027425,70.66632983294734
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-457_2019-08-29_185917_20190829_190136,2,2,2,-8.839199337748626,13.971723043198637,6.723452693780466,22.884061364719113,88.95827168116637,12.314475095421654,124.15680814130714
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-4789_2019-08-30_074226_20190830_074457,2,2,2,-8.2686334958448,6.697033485312963,-1.3048009034925414,20.02510179515689,20.438609266955794,0.4637882004047338,40.927499262517415
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-6084_2019-08-30_113133_20190830_113355,2,2,2,-8.789267907022328,12.924119287490704,5.59563962651713,22.62625370823759,76.11816603030601,8.529639410452738,107.27405914899634
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-6972_2019-08-30_140737_20190830_141008,2,2,2,-8.95088626833391,14.294617295763203,5.474045036795271,23.466014002764073,93.1175338778012,8.162964918491669,124.74651279905693
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-7645_2019-08-30_160438_20190830_160708,2,2,2,-8.78159179761664,11.317047117749176,2.7394841896425,22.586749677115307,58.36502130686969,2.0444137555823145,82.99618473956731
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-8000_2019-08-30_170730_20190830_170951,2,2,2,-8.284254438618113,9.301366526198844,4.668527574995508,20.100835336267725,39.42574576253774,5.937328174595744,65.46390927340121
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-8387_2019-08-30_181523_20190830_181755,2,2,2,-8.909733125906294,12.946070480553221,3.827055268914794,23.250732475018896,76.37695403623948,3.9898876444453824,103.61757415570376
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-1e+06_rep-9931_2019-08-30_224513_20190830_224737,2,2,2,-8.831282354885683,11.752695851394911,2.858046230364703,22.843086706384714,62.94502272138393,2.225203306533897,88.01331273430254
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-1398_2019-08-29_214437_20190829_214659,2,2,2,-8.738849855469567,9.62042094420421,0.10235555045648326,22.367415378923614,42.176889765559665,0.002854000166710109,64.54715914464998
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-2339_2019-08-30_002843_20190830_003117,2,2,2,-8.742651448433158,11.521569022049093,3.646905694212137,22.386880252604616,60.4936308910758,3.6230995216392654,86.50361066531968
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-3397_2019-08-30_033621_20190830_033842,2,2,2,-8.84947023248567,9.017721235525286,-2.2643218830624825,22.93727350106164,37.05783233102319,1.3967141248973929,61.391819956982225
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-358_2019-08-29_184107_20190829_184329,2,2,2,-8.836723986434427,10.816432336150726,1.103418913260743,22.871246140725802,53.31562147885024,0.3316744710604268,76.51854209063647
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-4880_2019-08-30_075821_20190830_080044,2,2,2,-8.844472847908163,9.230688800574875,-1.828552309448824,22.911374999004106,38.82885816622622,0.910848138643125,62.65108130387345
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-5862_2019-08-30_105120_20190830_105354,2,2,2,-8.359853086279875,6.475433921645883,-2.607756045601917,20.46937292255805,19.108392450324875,1.852529444721363,41.430294817604285
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-7460_2019-08-30_153331_20190830_153553,2,2,2,-7.93497110174247,7.389289872791232,3.4866341118430277,18.441572339599894,24.882373668970526,3.31164631151351,46.63559232008393
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-7712_2019-08-30_161745_20190830_162017,2,2,2,-8.782500793293964,10.953585297161975,2.055653778353655,22.591425895483248,54.67628383299834,1.1511479365608317,78.41885766504241
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-10_rep-8045_2019-08-30_171516_20190830_171736,2,2,2,-8.4031707094543,7.531533116817054,-0.6257213005531135,20.68205173573135,25.849561507131533,0.10665791173206791,46.63827115459495
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-100_rep-1210_2019-08-29_211017_20190829_211249,2,2,2,-8.744645872977067,11.753484568157209,4.057145480262502,22.397095468546638,62.95347141451815,4.484069749000888,89.83463663206567
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.01_w-100_rep-1427_2019-08-29_214957_20190829_215230,2,2,2,-8.846285971133408,10.88363755367104,1.1000976889743335,22.920769658206453,53.98020646228694,0.3296808356918004,77.2306569561852
